,title_ori,body_ori,publication_date,year,company,title_count,body_count
0,불원자주주권회복확신,불원자주주권회복확신<br>「무치오」특사래한제일성을발표<br><br> 지난 이십삼일 오후이시넘어 공로로 내한한「무치오」특사는 동오후사시경 내외 신문기자와 회견하고 내한제일성을 다음과 같이발표하였다<br>본관은 U·N조선위원단과 협의하여 UN총회의결의을 수행하는데 관하여 민국과 교섭할것이다본관은 한국이 불원간모든 외국의간섭없는 자주적인 주권상태에 도달하고 U·N참가국의 자격을 획□하게될것을 확신하는바이다<br>,1948-08-25,1948,경향신문,1,2
1,이범석총리최초의 시정방침연설요지,이범석총리최초의<br>시정방침연설요지<br>주권확립과남북통일<br>민생문제해결에 산업경제복흥<br>정부수립과동시에 국무총리의 시정연설이있을것으로 지대한관심을가지고 기다리고있었으나 행정양수에 따르는 사무에분망하여 금일까지 천연되어 오던중 이즈음 시정방침연설에대한 만단의준비도 완료되었으므로 명삼십일경에는 국무총리가 국회에서 시정연설을 하게되리라한다 그런데 연설초안은 기화처에서 준비한것이며 칠천자에달하는 장문 로서 약사십분간 걸리리라한다 그리고동시정방침의 윤확을엿보면 사십년간외세에시달렸던 조국이 완전한 민족국가로서 향상하기를기하며 기중에도 지히 시정의중점은국권회복과 산업경제복흥에 두고있다 이를좀더세목으로나누어 약술한다면<br><br>(일) 국권회복에 있어서는 자율적 민족적 입장에서 완전무결한 주권의확립을 기할것 이며<br><br>(이)산업경제복흥에 있어서는 신축성 있 는제도를 택하여 대기업의국영을도모할것 이며<br><br>(삼)국방문제에있어서는 지난 이십사일 발표한 한미공동군사 협정 범위내에서 강 역한국군을 건설할것이며<br><br>(사)행정권이양에 있어서는 재정재산 행 정기구 원조물자등 각부문에있어 완전한이 양을 기할것이며<br><br>(오)남북통일문제는 동족상잔이나 무력 으로서가 아니라 평화적해결을 위주한다고 한다<br>이상과같이 시정의 중점은 우방제국의 정의에 호소하여 완전한 주권확립과 민생문제해결을 위한산업 경제복흥등 두가지에 치중할것이라 하는데동 연설륜확에서도 드러나는바와같이 현하 신생대한의 당면과업을 적절히파악한것으로 앞으로 실제면에 나타나는 성적여하가 극히 주목된다<br>,1948-08-29,1948,경향신문,0,3
2,주권침해협정 민련반대성명발표,주권침해협정<br>민련반대성명발표<br><br> 민련에서는 팔일 자주 권을 침해당하는 여하 한 협정일지라도 반대 한다는 요지 다음과같 은 담화를 발표하였다<br>가까이「얄타」비밀협정은 우리민족의 본의아닌국토량단하는셈이되었고 조금멀리 을사조약은 우리민족이 알지못하는비밀리에 송두리채 민족과 국가를 일제왜적에게 바치게되어 여지없는 희생과 말못할고통에신음하지않이하였던가비밀은암흑이다 그럼으로우리는 자주권을 침해당하고민의가 반영되지 않은여하한 공개협정 일지라도진정한 민족적 충성으로이를 배격하며 한사반대할것이다<br>,1948-09-09,1948,경향신문,1,3
3,한국주권의 손상없다,"한국주권의손상없다<br>헬밐소장의제구조설명회한<br>미군정민사처장이며한미회담의 미국대표인「C·G헬밐」소장은방금국회에서 논난의초점이 되고있는 한미협정 제구조이호의「동산우는불동산 유체우는무체의 한국재산의취득권」에있어서 부록에 차에 국한하지안는다는 조항에 대하여지난 십륙일부로 대한민국정부 기획처장 이순탁씨에게 다음과같은 설명의 서한을보내어 한국주권이 손상되는 요구조건이 아니라대공사관등 건물의 증축영선등에 사용함을의미한것이라고 하였다 서한전문은 다음과같다<br><br>일,재산급재정에관한최초의협정 제구조중 제일절은 좌와여합니다<br><br>미국정부가 수취한 한국통화는 한국주둔 미국정부가 한국내에서 지출할 일절경비에 사용케하고 따라서 하기한바지출도 포함되어있읍니다 동산우는불동산 유형우는무형임을 물론하고 한국내에 존재하는 재산취득에관하여 미국정부가 관계하고있는 총재산의 개선비도포함되어있읍니다<br><br>이,우에표시할구절에이미미국이 문제된 금액을 미국이 취득혹비용하는 재산은 건설증가혹은영선등에 사용할수 있을을 의미한것입니다 미국정부가 관계하고있는 재산이라는것은 미국 정부의 명의로있는 재산급차용한 법적근거를 가진재산을 의미하는것입니다<br><br>삼,제이일혈부록초에나타난 재산은물론 매수하고저원하는 재산 인데미국정부의 계획은 아직도 변경될여지가 있을는지도 모름으로 그표시에는 융통성을 부여한재산만으로도 대공사의 사무진행상 충분하리라고 보며 미국의 대공사의설치에 필요한재산이외의 것은 매수할의도가 없는것입니다 하여간 미국이바라는 것은 장래의필요성에감하여 그이외의 재산은 우목적때문에 필요한경우에는 매수가 가능할수있도록 희망한것뿐 입니다 만일부록중에 표시된 재산을 빌리고저는희망은 현재의계획으로 는원조사단 협의단급 군사사절단을위하여 소용 되는 재산입니다 그이상의재산은 현재계획으로 는장구히 사용할 가능성이없는것입니다<br><br>사,이러한 종류의 협정중에 불분명하게 제시된것은 매우 유감된일로서 하여간 현재의계획은이러하므로 만일 우리가현재에만 너무 국한되며그범위가 너무 협소해서장래 한미량국간의 이익을 위하여 적확한계획을진행하기 어려운것입니다<br>",1948-09-19,1948,경향신문,1,2
4,전위도동의표결,"전위도동의표결<br>대한민국주권을 좌우하는 관건이될 최초의한미협정동의에 관하여 국회에서는 신중을기하고□ 십륙일 오전부터 전원위원회에 드러가 진격한 토의를거듭한바 있었으나 합의에도달치 못하여 십칠일은 신정부수립후 처음으로 맞이하는 추석명절에도 아침구시에전원위원회를 속개하여격렬한 논전끝에 표결한결과 재고일일팔중가륙팔부사사기권륙으로써 한미협정에 동의할수밖에 없다는데합의를 보게 되었다한다<br>이날도 전일에 못지않케문제의 초점이되고 있는제구조(이)호""동산우는불동산 유체우는 무체임을 막론하고 미국정부가 관심을가진 재한국재산급 그첨부물의취득 해재산은 최초에 본협정부록에 열거한재산을 포함함""과 부록에있는""재산은좌기재산(기선택하여목록에 기재한 재산)을포함하나 차에 국한되지아니함""을 조상에한국주권을 침해하게되는 결과를 갖어올 위험성이내포되고있는것을 수정치 않고 그대로동의한다면 골수에 사모치는 을사조약의 전철을 밟게되지않으리라고 단언할수 없으니근시안적 정세론에 흐르지말고 뼈저린 역사를거복하지않기 위하여 동의할수 없다는 강경한반대론이 지속되었는데 정부측에서는""차에국한되지안는다""는 조문에 대하여「헬밐」소장의 해석을 타진하였든바 그것은미국이 관심을 가지고이미 선택결정한 재산의례를들면""부대토지""등을지칭하는것이라는 회답이 있었고 도의적으로주권을 손상할리가 없다는 점을강조하는 동시에이런정도의 협정도 외교적성공 이라고 급속히동의하여 줄것을 촉구하였다한다 이에대하여 윤익희의원은 우리의 힘으로 왜적을 때려부시지못하고 해방되어 행정권이양을 받게된것과 현실에비추어 여울하고 수치스러운 조약이지만 동의않을수없는 형편이니 구조<br>(이)호에 대한 정식설명서 같은것을 받기로하여동의하는것이 좋을 것이다 제일차대전후 부터문제되고 있는 인류의평화자유독립은 오늘도 똑같이 웨처지고 있는것인데 세계의조류는 이것이한낫「구호」에끝이지못할것이므로 독립과 자유를찾은연후에 그권리를 주장하자고 의사를 토로하였다한다<br>그리하여 결국 목전에박한 국제련합총회 기타의 정치정세로 말미암아차에국한되지 않는 다는것은「부대토지」등이라는설명서를 첨부하여 받도록하고 동의하자는데 대체로 합의를 보게되어오전십일시사십분전원위원회(비밀회의)를폐막하고 소게후 십일시사십분제륙십팔차본회의를개회전원위원장 이청천씨 로부터 한미협정에 대하여전원위원회는 동의하는것이 가하다고 본다는보고가 있는다음 곧표결에드러가기로 되었는데 십팔일의 본회의에서 하자고 정해준의원이 제기하여 동십이시 산회하였다<br>",1948-09-19,1948,경향신문,0,3
5,국회본회의 완연지주의감,"국회본회의<br>완연·지주의감<br>제구조와각의원분연발언내용<br>행정이양에관한한미협정에대하여 토의 하고저국회 에서는 십륙,십칠량일 에걸처 전원 위원회를 열고 신중한 토의 를한결과 의혹의 초점제구조이항에대하여는고간의 수정을 가하고동협정에 동의 하기로합의를 보아 십팔일개회된 국회 제륙십구차본회의에 이를 보고한바 국의원간에는 찬부량론으로 다음 의원으로부터 격렬한 토의가전개되었었다<br>▲┉조국현의원=이천오백만불의 부채란 착취의세균과같다 한지주가 어느토지에 투자한다는 것은 무조건으로 소작인을위하여 라는것이라고 볼수없다<br><br> ▲┉이성득의원=십오년 혹는 이십년후의일을가지고 지금가타부타 라는것은 𣏌우이다<br><br> ▲┉육홍균의원=대단히시급한 문제이다 급하다고 그대로 넘어갈수없다 약한 사람이남의동정을 받는다는것은 슬푼일이다<br><br> ▲┉유진홍의원=무제한이란미측의요구는불가하다<br><br> 요지 이상과같은 각 의원에대하여 정부 측 으로 이대통통 윤치영 내무장관 이순탁 기화 처장은 다음과같이 말 하였다<br><br> ▲┉이대통령=조곰주고 전체를쫓는것이 좋을것이다 우리의의도 로서는반도「호텔""은 미국 불로 오백불이면 괜찬은것같다 우리가 그들을믿는다는것이 좋을줄안다<br><br> ▲┉윤치영내무장관=이번한미협정은국제법상으로보면 점령군으로부터행정권을 이양받는 협정이다 즉신생조국의 주권을 찻는협정이다 내이십일일 국제총회가 열리게되는데 그전에 우리는주권국으로 행세하여야하겠는데 주권을 찻느냐그렇지 않으면이를 천연시키느냐 양자중 기일을택할것이다<br><br> ▲┉이순탁기획처장=헬밐」소장으로부터 제구조에 대한상세한 설명서한(별항)을소개한다<br>",1948-09-19,1948,경향신문,0,3
6,미대한경제원조안에 주권침해가우려,"미대한경제원조안에<br>주권침해가우려<br>한미제일예비회담,11일도속개<br>지난사일 제일차 한미회담이있은 이래 정부측에서는 미국측으로 부터제안된 경제원조 재정□이등의제안건을 조상에 놓고 구수응의하여 오던바일층의 신중을 기하여십일일 개최예정이던 제이차한미회담을 십이일 하오이시로 연기하고 거팔일의 제일예비회담에 뒤이어십일일 십시부터 민사처에서 한국측대표 금도연재무장관 이순탁기획처장 이윤영무임장관유진오법제처장국회의원정해준씨등 제씨와 미국측의「무치오」특사 이십사군단민사처장「헬믹소장「삔즈」박사등제씨참석하에 이시간여에 걸쳐협의 하였는데 회의과정의암초는 미국측 으로부터의 제안건이 한국측온로서 감수키 어려운점이횡재하고 있다는 것이다 소위대한 경제원조의진의가「마｜샬안」적원조와 어떠한 차이가있는지 또한 군정시대의재정인계에 있어도 미국의해외청산위원회 의 복안과여하한 연관성이 있는지전반에 걸쳐그 한계가명확치못한듯 하며 동회의에참석하였든 재무부 모씨는 시종 미국측에리｜드당하여 나가는듯한 회담성과에 의문조차 갖고있다<br>",1948-10-12,1948,경향신문,1,1
7,한미경원회담에 국민의 요망을듯자,"한미경원회담에국민의요망을듯자<br>한미량측상호양보로<br><br>조약체결에명랑을기대<br>상의회두 전용순 씨담<br>자유가구속될<br>내정간섭의협정은반대<br>저축두취 권 석 신 씨담<br>국권침해원조는반대<br><br>건설실업 대변인담<br>미측제안조문<br><br>제이조「마」항「한국내에잇어서의 외국인의 상사행위권을 인정할것<br>제사조「나」항「외국위위참권한을 한미협 의하에둘것<br>방금 한미경제 원조회담은 미군민사처에서량측대표가 회합하여신지한태도로서 미측안을중심으로 토의하고있다 그런데 미측안은전문십조에 긍한것으로 지난사일에는 제삼조 까지합의 를보았다하며 앞으로 머지않어이를결정하게되리라 하는데 지금 까지나타난 미측제안 에의하면 한국경제자립에 도음이 되는 점이없지않으바 아니나 제이조「마」항""한국내에 있어 서의 외국인의 상사행위권을 인정할것""과제사조「나」항""외 국위 참권한을 한미협의하에 둘것""등등에대하여는 조문의충분한 설명이있기전에는 일반국민의 의문을풀기어려올것이다그러므로 이에대하여 정계 경제계등 각계에서는 어떠한 견해를 가지고있는지 그요망을들어보면다음과같다<br>주도권을우리가가지고<br>경제자립에침해없은협정을바람<br>＝조은＝<br>최총재담<br>지금 지상 으로보도된것은미측안에 불과 한것이고 앞으로 수정 될줄 믿으나결국은 협정 의정신을살리고 그것을 운영해 나가는데 동협정의성과가 있을것이고 비판이 나올것이다 지금으로서는 무어라 구체적으로비판 할수없으나 실제의운영의 주도권을 우리한국이 장악해야 할것이다비컨대 외국인의 상사행위권을 인정한다는 문제는 원칙적으로 말한다면부인 할수없으나 구체적운영면에있어 어느 정도로 그한계를 정할것인지가 문제일것이다 그리고외국 위참권한을 한미협의하에 둔다고 하였는데요는 주도권을 한국이가저야할것이다 나의 생각으로는 미국내외 여론도한국의 주권침해가 없기를바라고 있을것이니 동협정도 원만히 진행될줄안다<br>서전의물가급상승<br>서전의 노동자들은 최근의 기록적인 물가상승에 매우곤난을 받고있다빠타 육류 생선등의가격은 일구삼구년 당시의이배이상으로 급등하였 다국민의필수품인으｜바｜을(작업복)은이삼배양화는삼배가임급연료는이배정도로상승하였다한다<br>아직 확정된 조약조문을보지못하여 상세히 말할수없으니 미측제안에 의하면 너머제약과 보장조건이 과히많지안나 생각된다 물론우리로서는 과거일제때 속아온일이 있으므로 의심사게 될지 모르나 경제주권에 침해가된다 든지나아가서는 내정 간섭이있다하면 별로환영 하지못할것이다 한국의 현실로보아 물자의원조는 절대로 필요하다그런데 과거삼년간 미국이 한국에대하여 원조하여준 것과앞으로 원조해줄것과는 성질이 다르리라고 본다전자는 순전히전재민 구호한다는 의미가 많었으나 이제부터는한국의 경제복흥의 기업화를 예정하고 원조하게될것이다 그러므로 좀더한미량측은 양보하여 조약체결에 명랑화를 기해야 할것이다<br>국민에게공개<br>국의원최국현씨담<br>아직 확정된 협정전문을보지못하여 구체적 으로말하기는 어려우나 원측적으로 말하자면 미국의물자원조를 받어야 할것만은 현민국의 실정이다그러나 이에딸아 한국의주권이 침해를 당한다든가 따라서 경제자립에지장이 된다면 우리로서는도저히 용인하지 못할것이다 그러므로 원칙만밝힐것이 아니라 이에대한상세한 설명도 필요하며그것을 일반에게 공개해야 할것이다 그러므로전회담을 담당하고 있는한국대표는 마땅히 운영의주도권을 상실하지 않어야 할것이다<br><br>미국이 한국에 물자를원조하는데있어 조문상으로보면 많은간섭이 있든것으로 보힐것이다 마치 양곡매상에 있어서도그 통제를 실시하지아니하면 미국의비료와 국내에서 불족한식량을 얻기어렵다는 경우와 대동소이하게 물자원조에 있어서도 미국은 대외각국의하나로서 그계화중의 하나일것이다 그러나 물자를받는 우리로서는 우리의 자유가 구속된다든지또는 내정간섭에 가까운그 무슨의도가있다면 절대로 우리로서는 용납하지못할것이다 현재 우리는 다방면으로 외국의물자가 필요함므로 외국의원조를 받는것은 좋으나상기한점이 조곰도 없어야할것이다<br><br>우리가 미국의 물자원조를 받기위하여는 노력해야할것이다 그러나 그로말미아마 우리독립 주권이 침해된다면 단호반대해야 할것이다 이번물자원조전면에 대해서 보다도 한가지 구체적사실에대하여 나의소망을 말한다면 무역문제에 있어서 한미협의하에 외국위찬권한을 둔다는것은 어느모로보나 생각할수 없는일이다 그러므로 위참문제에 있어에는 별도위참를두어 수입에 있어서는 미일불에 사백오십원으로 환산하여 물자구입하는것은 무방하나 그와반대로 수출에있어서 수입과같은 비솔을 준다면국내산업은 파멸할 것만은명약관화한 일이다 그러므로 무역에 있어서는「더불 시스템」을 활용해야할것이다<br>",1948-10-17,1948,경향신문,0,4
8,한미물자원조회담의저류 미대한원조는?,한미물자원조회담의저류<br>미대한원조는?<br>세계평화건설을촉진<br><br> 방금 한미물자원조회담은 일반이 주지하는바와같이 미군민사처에서진행되고 있는데 금주중으로는 거이 일단락을지으리라고 관측하고 있다<br><br> 그런레 우리는 동회담에 대하여는 지금파리에서 전개되고있는 국련회의에 못지않게 관심을갖게되고 어떤각도에서 관찰할때는 그이상 주목을뫃 으게되지않을가 생각된다 이러한 중대한문제를 외교항례라면 어찌할도리가 없거니와 그렇지않다면 공개해야 할것이며 공개치도 못한다면적어도 중간발표쯤은 있어야할것이라고생각된다그것을비밀에부치면부칠수록 국민의의구를 사게되고 따라서 유언비어가떠돌게 된다 그러나 항간에서 유포되고 있는랑설에는 귀를기우릴 흥미조차 느끼지않는다 항간의랑설을 종합하여 본다면 일설에 미국은한국을시장화하려고한다든가또는내정간섭이니 주권침해이니등등의역선전이돌고있다 이렇한 선전은그출처가 두곳에있다고볼수있다 그한가지는 과거사십년간일제에 속아온불미스러운 경험에서의추측이고 또하나는공산주의자들의 남한에서반미감정을 환기시키려는것이다 전자에대해서는다소동정할여지가있으나 후자에대해서는「푸로파간다」의 유치함을놀라지않을수없다 과거군정삼년간 미군정당국자를국내기자단이회견하였을때 거의매회에걸처기자들은 미상품의범람을통탄하여간접적또는직접적「미국은한국을시장화하려는것이아닌가」라는 질문을련발하였다그러나그럴때마다당국자는「시장화할의사없다」라든가 또는「한국에흥미없다」라는 어구로서간단히 일축하여버렸다<br><br> 그대답을 솔직히 믿고싶다 그리유는 만일미국이 한국을 시장화하려는복선이 있다면 호불호간에 한국은 미국의시장이되어 버렸을줄안다 혹자는 해방후양품이 우리의시장에서패도를잡고있지안는가고 반문 할른지모르나 이는미국의 대한정책의 일편린으로 보는것보다는 그어떤 큰목적에도달하는 가운데의 하나의「파노라마」에 불과한것이다<br><br> 그러면 미국은 한국을시장화 하지도않고 주권침해도 아니요 내정우섭도 아니라면어찌하여 한국에 물자를 원조하려고할까하는 이의문은 삼척동자라도 이러 날것이오이의운을 밝히지 아니하면 아니될것이다<br><br> 제이차 대전후 한국은일제로부터 해방은 되었지만 그대신조국은 미소량국에 의하여 양단되었다 이 슲은사실로인하여한국은 한국인의 한국이라는것보다 세계의 한국이되었다(주=주권의소재를 말하는것이 아니라 전후 세계 처리 문제의 하나인한국문제를 말함)우리의 눈앞에는「카이로」「포스탐」「삼상결정」「미소공위」등의 국제공약이마치불□수표처럼 쌓이고 쌓였다이러한 불도수표가 쌓이는동안 세계는 미국과소련다시말하자면「민주」와「공산」양진영으로뚜렸이갈라저버렸다그러면전쟁이냐?전쟁을 원할사람이 어디있으리오 마는현세계 동향을 관찰할때 우리는 세계의고민이평화를 위하것이라는 것보다전쟁이란 불가피 하고불가피한그전쟁을준비하기위하여서는고민이라고본다그렇지않다면고민할필요가없을것이다이러한 가운데 이제한국이미국으로부터 물자 원조를받게된다는것은 환영하나 결과에있어서는 그리단순한 일이 아니다이번한미물자원조회담의 미측제안에의하면 미국 은일구사팔년 미국 회에서결의통과한 법령에 의하여 한국의 경제원조를도모함이라고 그목적을 명시하였다 그원조법의 목적은 미국이외국에 원조를 제공하므로써 세계평화와일반복리 또 합중국의 국가적리익과 대외정책을 발전시키기 위하여서이라고 명문화 되어있다 이와같이 미국으로서는 세계평화를 그최고목적으로하고 한국을 원조할것이다 그러나 한국의현실 내지 화전기로에는세계정국을 전망할때 일말의 불안을 금치못할것이다 미국이한국을 도웁는다는 사실또는 한국이미국의 원조를 받는다는그사실 자체에는 아무런죄가없다 할지라도 결과적으로보아 인과 관계를남기지 않으리라고 누가단언하랴<br><br> 북한에서 소련은 물자를 북한에 원조하지못하였다 그러나 그들은공산주의의「이데오로기｜」를파종하고 이제 삼십만의 인민군을 수확하였다그와반대로 남한에서 미국은 물자원조를 하려고한다 북에양병 남에원조과연 그 결과는 어찌될가<br>,1948-10-21,1948,경향신문,0,3
9,『주권을침해않는┈』등 한국측수정안채용코 한미회담완전합의,"""주권을침해않는┉""등<br>한국측수정안채용코<br>한미회담완전합의<br>일구사팔년륙월이십팔일 미국회를통과한 대외원조법제칠백구십삼호에의거하여 지난십월사일개최이래 무려십삼차의정식회합을거처 심의되어오던전문십이조의한미경제원조회담은 저간미측제안에대한 한국측수정안을중심으로하여 토의진행되어오던바미측대표는 단독으로결재키인난한조항 즉협정주문에「미국의대한경제원조는한국주권을침해치않는운운」의문구삽입을제기한한국측대표의요청에대한 본국측훈령회시를 기다리고있었던바입륙일오전십시 이에대한정식확인과약간의 문구수정안이첨부되어입전되었음으로 입칠일상오구시삼십분 미측확인통첩에의하여중앙청민사처에서 한미량측수석대표금도연「헬믹」양씨가회합하였는데 동석상에서종래응의되어오던 미비사항을불식하고원만합의를보게되었다한다 다시동일십일시한국측대표회원은 금도연재무장관실에서 회합하여미측으로부터회시되어온확인에 첨부되어온문구수정안을 중심으로재심한결과 완전합의를얻게되었다한다전문한바에의하면 이번미본국으로부터 확인에첨부되어온문구수정조문중에서「재산의 무형유형」등의 모호한 추상적 문구의삭제와「한국내에있어서의미국인상사행위는한국헌법및법률한계내」에서영위된다는문구의삽입등이라한다 그런데래주중 한국측으로부터리국무총리 미국측으로는 무치오특사 가각기대표하고 금도연재무장관 헬밐소장부서하에 조인되리라한다그리고 조인되는대로 한국측은국회에 상정하여 비준여부를 기다릴것이라한다<br>내주내정식조인<br>한국대표단수석<br>금도연장관담화<br>이에대하여 한국측 수석대표금도연씨는저간의경위에대하여 요지다음과같은담화를 발표하였다한미량국 간의경제원조회담은 저간약간의조항에대하여한국측수석대표인본인과 미측대표 헬믹소장과의 비공식 회합에서합의을 보게되었다 다시이어서 한국측 대표만이모여서 심의결과 미측수정안에대한 완전 합의를얻게되었다 인제는 수정조문에 대한 번역만이남었고 인쇄되는 대로래주이내에 정식조인 이있을것이다<br>서々·정확하게<br>시정효과곧나타난다<br>정부대언인담<br>이십칠일정부대변인은 곧시정에 있어서어떠한 형태의 실□이 드러날 것이라고정부시정에대하여다음과 같은 담화를발표하였다<br><br> 그간의 이양사무는 최근에이르러 완료 될것인으로 곧시정에 있어서도어떠한 형태의실적이드러날 것이라고 보아진다우리정부는 마치 황야에새로운 건물을 축조하듯일제□취의 뒤끝에 우리의정부를 건립하는 것이므로 시정이 그리용역□되는것도 아니며 만인기대의 결과가 조속히드러나는것도 아니다 그러나 이러한기대에 어그러지지 않도록 일반공무원들은 주야로 노력하고있으니까 그경과와 결과는머지않어 드러날 것이니그것을 본뒤에 우리정부실력에대한 비판이 있으면한다 전기한바와 같이수삭밖에 않된 우리정부는 팔구년 혹은이삼□연을 경과한 정부가아닌만큼 우리정부의 육성되어감을 절대지지해 주지않으면 안될것이다 작일대통령께에서말슴하신바같이 민주주의건국은 서서히 또정확한것을 주지로하는만큼 나치스의 전제정치와 같이 졸속을취하려는것은아니다<br>",1948-11-28,1948,경향신문,1,2
