,title_ori,body_ori,publication_date,year,company,title_count,body_count
0,주권회복축하 나마법황『멧세—지』,주권회복축하라마법황『메시지』일구사팔년팔월십오일대한민국정부수립기념축하식에 나마교황청에서는 한국주재교황사절 뻔주교를통하야 대한민국대통령이승만박사에게 나마교황비오십이세로부터 다음과같은축하『메시지』를전달하여왔다한다라마교황십이세는 대한민국의 그주권을 회복함에대하야  열한축하를드리오며 천주께비옵나니리대통령과 정부요직의여러분이 그중대한책임을완수하도록 인도하시고 보우하야주시며한국전국민을 통일과평화와행복으로 축복하야주소서,1948-08-16,1948,동아일보,1,2
1,군정도폐막된오늘날 포고령 존속은모순,"군정도폐막된오늘날
포고령
존속은모순
새국가면목세워무효선포시급
 점령군의 안전을도모하기위하야 공포된소위포고령이 점령이종료되여 주둔으로변하고주권국가가 신생한오늘날에도여전히존재하고 있음은무슨일인가? 즉미군이남조선을 점령한이래 언론결사,집회둥으로부터 미군물품소지 심지어는양담배장사에 이르기까지광범위에걸처 취체할수있는포고령이발동되여 수많은민중이육법이외에 가중하는포고령의제약을감수치않으면안될 운명속에서 신음하였으며 육월말 현재의통게수자만을 보아도 군정재판에의하야 일천륙백오십사명이 형무소에수감되여있고 다시군정법포고령등위반으로 팔백사칠명이형을받고있으며 그중에는무기형을받고있는자만도륙십사명에 달하고있는데피점령지역내의 민중인까닭에 처벌을면치못한억울한처지에있는경우도적지않어 오로지우리국가의주권이회복되는날만 고대되고있든바 군정이종료되고헌법을갖인국가가탄생된후에도 수감자의석방은커냥불명에스러운 포고령이 그대로 존속하고있으며 더구나 군정관리도않인 새정부의 사법관이 이법령을그대로 운영한다는 커다란모순은 어데기인되고있는것인가
 당국으로선 맛당히동법령의무효를 서급선포하야명실상부한 주권국가외면목을세울것이 시급히요청되고있다
 이문제에관한 사법당국의견해는 다음과같다
금대법원장담
 당연히없어저야할것이고또 사법당국에서 무효를선포하면될것이지만 현재의 객관적인 정세로보아당장에 그리할수는 없는처지임으로 어느시기에가서야 해소될것이다 그러나 한편직접운영자들이이법령을이용치않고현행육법을적용하야 처결할수는있을것이다
대검찰청검찰관
엄상섭씨 담
 사실상 점령군에의한법령이라는것은 피점령국이점령군을무력으로 정복하면자연취소되는것이아닌가그와마찬가지로 무력에의하지않고라도피점령국이주권을회복하고 점령이라는것에끝나면 역시그법령은무효가될것이며 오늘날의대한민국이주권을갖게된이상원측상으로는당연히소멸되여야 할것이라고생각한다
",1948-08-21,1948,조선일보,0,5
2,불원자주주권회복확신,불원자주주권회복확신 「무치오」특사래한제일성을발표   지난 이십삼일 오후이시넘어 공로로 내한한「무치오」특사는 동오후사시경 내외 신문기자와 회견하고 내한제일성을 다음과 같이발표하였다 본관은 U·N조선위원단과 협의하여 유엔총회의결의을 수행하는데 관하여 민국과 교섭할것이다본관은 한국이 불원간모든 외국의간섭없는 자주적인 주권상태에 도달하고 U·N참가국의 자격을 획하게될것을 확신하는바이다 ,1948-08-25,1948,경향신문,1,2
3,이범석총리최초의 시정방침연설요지,이범석총리최초의 시정방침연설요지 주권확립과남북통일 민생문제해결에 산업경제부흥 정부수립과동시에 국무총리의 시정연설이있을것으로 지대한관심을가지고 기다리고있었으나 행정양수에 따르는 사무에분망하여 금일까지 천연되어 오던중 이즈음 시정방침연설에대한 만단의준비도 완료되었으므로 명삼십일경에는 국무총리가 국회에서 시정연설을 하게되리라한다 그런데 연설초안은 기화처에서 준비한것이며 칠천자에달하는 장문 로서 약사십분간 걸리리라한다 그리고동시정방침의 윤곽을엿보면 사십년간외세에시달렸던 조국이 완전한 민족국가로서 향상하기를기하며 기중에도 지히 시정의중점은국권회복과 산업경제부흥에 두고있다 이를좀더세목으로나누어 약술한다면  (일) 국권회복에 있어서는 자율적 민족적 입장에서 완전무결한 주권의확립을 기할것 이며  산업경제부흥에 있어서는 신축성 있 는제도를 택하여 대기업의국영을도모할것 이며  (삼)국방문제에있어서는 지난 이십사일 발표한 한미공동군사 협정 범위내에서 강 역한국군을 건설할것이며  (사)행정권이양에 있어서는 재정재산 행 정기구 원조물자등 각부문에있어 완전한이 양을 기할것이며  (오)남북통일문제는 동족상잔이나 무력 으로서가 아니라 평화적해결을 위주한다고 한다 이상과같이 시정의 중점은 우방제국의 정의에 호소하여 완전한 주권확립과 민생문제해결을 위한산업 경제부흥등 두가지에 치중할것이라 하는데동 연설윤곽에서도 드러나는바와같이 현하 신생대한의 당면과업을 적절히파악한것으로 앞으로 실제면에 나타나는 성적여하가 극히 주목된다 ,1948-08-29,1948,경향신문,0,3
4,행정이양과 말초적마찰,"행정이양과말초적마찰
 행정이양이 예상외로급속히진행되지못하는때문에말단에서 혹은미초적문제에서 종래의군정기구하의직원과 신정부와대립적감정이생기고있다던가 심하면일부에 얼굴에핏대를을려가지고 권한다툼을한다는등은 듯기에도불쾌한일종의추태이다 문제는극히간단하다 해방과동시에미군이진주하면서 남조선에는미점령군사령관의 관할하에들어가며 일구〇칠년해아조약으로 호칭되는륙전법규에의한것임은『점령군의 안전을도모하고점령지역의 공중의치안,질서의안전을기하기위하야』군정을 실시한다는맥아더시고로써 명확한바이었거니와 팔월십오일 대한민범정부수립이 대외적으로정식선포된날 하 지사령관이 군정의 최고책임자로서 십륙일자정부터 군정의 철폐를 선언하였고미국육군성은 이십사일로써점령군사령관의 소환을발령하는동시에 미국대통령특사인외교사절로써 그임을 대신케하게하되유엔결의조항에의한 신정부수립즉후의 행정이양을주임무로할것이라고 하였으니 미특사의부임과동시에남조선에는 미군의점령이란사실은 끗난것이고따라서점령군사령관의 군권도법적으로 철수된것이다이것은 우리의일방적해석이니희망적견해에서가 아니라실로미국이한국정부를사실상승인한다는성명과 그성명내용을 그대로실시한데서 효력을발생하는것뿐임은 다시설명의 여지가없다 그래서실제로주둔하는미군이 그완전철퇴까지잠정적조처로 군사사절의형식을취한것도 그때문이다 그러고 군정의잔무는무치오특사휘하의 민정처가 담임할것으로되여있다고했으니 이는하등 행정상의 적극성을 가지는것이아니고 실제의행정이양사무의 수속절차를 이행할것뿐인것이다.
이
 문제는 더욱명확해진다미군의점령의사실이 끗나고 군정을철폐하면서 정권의모든기능은 대한민국정부에 이양될것을미정부당국과 미점령군당국이대한민국정부성립선언과 동시에 성명했다는 남조선에주권기관으로 대한민국정부이외에 다시있을수없음은 자명한리치이니 이양그것의 사무내부에어떤절차라던가 사무상지연이나 또실제기능의 효과를위하야 계단적고려의필요가인정된다면 모르거니와남조선의주권자가 대한민국정부임에 법이상하등비법이없는이상 또실제에있어서 남조선인민의선거에의한 법적정부로서 그성립의기초가 일개정치집단에의하야 실력으로된것이아닌 법적형식절차를 가진이상 미군이나 미국당국으로서도 한국정부의주권을 존중하여야할 의무를가질것이거던 선거인의일인인 그국민으로서 대한민유정부성립과 발전을위하야 그의실질적행정권한의 획득을위한사무진행도정에있어서 정부반대를주장하는것이아닌이상 그원칙과 실제에하등이의의적극성을 가질수없다 그러나 문제는지금실제에있어서 군정관계가비록잔무처리리고하나 신정부에이양되지않고 있는것은어찌하느냐하는것에 있을것이다 말하자면지금남조선에는한개의 명목상정부와또한개의 실질상권력체가있지않느냐하는 반문이될것인데 이것은사실에있어서극히 짤분시간의과도적상능에불과한것뿐이고 모든정치의기능은 팔월십오일이후 신정부주권에의한국가목적의 실천에있을것이므로 비록실제의 행정이양은 않되고있다하더래도군정잔무를마튼종래의군정하의 각행정당국으로서는모름직이신정부의의사를존중하야행동할것뿐이겠고달리행정의 주동력을운위할적극적태도를가질근거는추호도인정된수없는것이다.
삼
 사실에있어서 군정관리는 외국주둔군장관의례하의 직원이었고 신정부와및그정부의관리는 헌법에기록된바국민에게서 발동된주권정부가임명한바 국가의직원인점에서 양자의입장은본질상다르다 하니실질에있어서종래의군정관리이자 한국국적소유자인그들은 당연히신정부직원으로 선기복무에있어서도덕적책임을 가저야할것도당연하거니와 법규상의무도 자동적으로 발생하는것임은 물론이다 즉하 지사령관이 십륙일부터군정을철폐하고 정권을 일절신정부에 이양한다는공무선언이 법적효력을 전제하는것이다 그러나 지금행정권이양이 실제로진척되지않고 명령계통이불명료하다는 사실이딱한사정일것이다 그러나 그런정도의것은 위에처해있다는자 응당발전될정치적사태에비추어알아채려서할것뿐 권한이 네게있느나내게있느니는원래 얘기가않된다 그저남보에 창피스러울뿐이다 그러니문제는행정인수한문제를 대한씨국정부로서도 좀더적극적으로추진시켜야 할것이요또뜻과같이신속히못되고있다면그이유가 어데있느냐하는것을 밝히어일반국민에게량해를 구하며동시에종래의관리에게도 처할바태도를 좀더구체적으로명시함이있어야 할것이필요하다 그러고미특사당국은떡을주려는자이거던주어야할떡이거던 달라고하기전에 성큼성큼조처가있어야할것이다 양자의이에대한공동성명쯤은 지금이때에 극히시급히 필요할것이다 그이유로는 어느장관의 권한다룸가튼것에보다도 실제행정의운영이전반적으로 정체상태에 들어가 있는것이다 각부문이전력을다한다해도 어렵고 또시간이바뽄 민생문제를중심으로한 모든건설을 어찌할것인가 관과관의기관에서도 그러려니와그민간각기관이 또한가사상태에있다는것은 극히중대한문제이다 무롯,정치는 기미의명제선처에있는것이다.
",1948-08-31,1948,조선일보,0,5
5,주권은백성에게 당파의전단배격하라,"주권은백성에게
당파의전단배격하라
귀미앞둔 서박사담
내구일경의미국행을 앞두고려장준비에분망중인 서박토는삼십일하오중앙청별관에서 기자와다음과같은문답을하였다
 문 앞으로조선이민주주의적으로 발전하자면어떠한과정과 방법이필요하다고보는가
 답 모든것은 백성의손에있는것이다 제정된헌법에의지하야 불만족한점은이정하여가면서 민주주의발전에 이바지하여야할것이다 민주주의국가에서는혁명이란 과정은없는것이다 그러고우매한민중속에서는민주주의는 발전하지못한다그럼으로무었보다도민중의교육이필요한것이다
문 국제적입장으로보아조선을가장공고한 지반우에세우자면 여하한방법이있을까
 답 현유엔기구로보아이에정식으로 가입할수있는승인을밤기는 어려울것이나 그러나소총회의승인을얻을가망성은 있을것으로본다 요는그런것이문제가아니라 조선의모든백성이경제적으로 도덕적으로문화상으로 실질적인진보가있어야할것이며 이로써국제간의 신임을부터히할수있는것이다
 문 혁명선배의입장에서특히 지도자에게간곡히부탁할말은없는가
 답 일년여의 나의조선생활로써 내가말할것은모든사람이다안다고 생각한다 구지말하자면 조선에는공산당과 압제정치를하려는 이개당파세력이있으니 국민은여기에주목하고성찰하여야할것이디 그리하야 갖인권리와찾은권리를외국사람은물론 어느당파나 어느개인에게빼았기지말어야한다
",1948-09-01,1948,조선일보,1,1
6,정당활동의신단계,정당활동의신단계민주주의확립에공산、팟쇼를배격금    삼    규일해방후족출한 제정당은각기진보적인 정강정책을내거렀으니 일종의공수표에 불과하였다。 정강정책을 실천하지못한것은 주권이없었기때문이지만 그렇다고 정당자체의 존재가 무의미한것은 아니었다。 주권없는나라에 정당은 불필요하다고 극론하는분도있지만은 주권을회복하기위하여 자주독립을전취하기위하여 정당이필요했던것도 사실이다。 해방후에 제일몬저 결성된당은  지한바와같이 조선공산당이었다。 농토의무상몰수에 무우분배를주장하였고 무산계급의영도하에 연립정부론을 주장하여 표면적인 인민전선으로 무산계급독재를 기도했고 심지어 모국의련화까지 주장하였다。 이러한정당이                엄연히존재하여강력한조직과 선전으로 인민을현혹케하고있었으니 이에반대하는 애국자들이 수수방관할수없어 한국민주당을 위시한제정당을 결성하여이에대항해왔고 자주독립을전취하기위한 국민적인협동전선도 이러한제정당이중심이되어 전개해온것이지만 이러한현실적인제제약은 일방정당의정당적인특색을 애매하게했고 타방정당과국민운동단체와의구별을 애매하게했다。 이러한애매화에도 불구하고 반공주권회복의이념만은 더욱 소연한바있어 마침내 주권을회복하게된 이마당에 종래의이념은 여하히전개될것이며여하한 실천이 수반되어야할것인가 정당활동은바야흐로 새로운단계에 당면하였다고할것이다이금후로전개될정당운동의기본적방향을규정하기전에종래의 반공주권회복운동의 결정체인국회의구성요소를 보건데 한민팔오명독촉오륙명 한독 대동 민족 기타륙칠명의 개산을얻을수있으니 한민 독촉의 합계는 절대다수를점하는것이다。 이것은 이시영부통령선거에 있어서 일삼삼표라는 수자가 이것을증명하고있는바와같다。환언하면 해방이후 공산주의자와 가장렬렬히 투쟁하여 유엔결의를 추진시켜온것이 한민 독촉이란것을증명하는동시에 남한이천만대다수동포가 이들을 지지했다는것을의미하는것이다。 그러나칠백만에가까운 동포가한민、독촉을 지지하지않었다는사실은 무엇을의미하는가？그것은 해방이후민족진영내부에 한줄기의실마리처럼 존속해온또한개의이념용공주권 회복운동의표현인것이다。 고여운형씨를중심으로한건준파김규식씨를중심으로한좌우합작파 김구 김규식량씨를중심으로한남북협상파의 조류가곧이것이다。 건준파와좌우합작파에 대하여서는 일반인민도 어느정도인식한바가 있었지만 남북협상파에대하여서는선거운동이방감한 시기인지라일반민중이 현혹한것도 무리가아니지만 직접간접으로현혹된수가 칠백만에가까웁다는것은 간과할수없는사실이다。 구월이일 최고인민위원회가 소집되게된현하에있어서는 협상파자체가 실망하고있는것은지의 사실이지만 그러면그당시에있어서 반한민적으로 간주되는 민중의대다수가 협상의성공을 믿었으며 용공주권회복이가능하다고 생각했느냐하면반다시그러치도 않었을것이다。 대중은건준과좌우합작을통하여 신탁지지와련화문제를통하여 용공주권회복이 절대불가능하다는것을 잘알고있다。 그러면그들은 무엇때문 반공주권회복운동의 선봉인한민당에대하여 투표를거절할정도로불만을 포회하였던가。삼민족진영의 견루로자타가공인하는 한민당에대한불비을 검토하는것은 한민당자체의 발전을위하여서나정당발전사상의 일반적견지에서나흥미있는일인만큼좀더상세히검토해보기로하자。 불만의이유는 첫재로군정과경찰의요로에있는사람은한민당원이아니면한민당에가까운사람이니 군정경찰의과오는 곧한민당의과오라고 생각하는것이요。 둘째로제일선에있는지방당원은 당원을빙적한관청출입으로 일신상의편의니도모했지 대중의선두에서서그들의 이익과주권회복운동을 적극적으로 전개하지못하였다。 따라서셋째로 한민당이 가지고있는 합리적인토지개혁안과산업건설안을 민중에게이해시키지못했다。넷째로 지식층에 속하는사람들로서 한민당의과감한 투쟁사를 이해하는사람들이 적극적인 지지를꺼리는것은 당의 지도층에대한 인간적인신뢰에도불구하고 그배경이되여있는 지주적보수적성격에대한경융라고 할것이다。한민당에대한불만과불평의이유가 이이외에도 많이있을넌지모르겠으나 이상사개이유가 가장중심적이고 보편적이라고 생각된다。 종래군정요로에 한민당원내지 그방계인물이많이있었던것은사실이다。 그러나 그사람들이얼마나당에충실하였는가는 의문이다。 관리로서최선을다하는것이 곧당의장래와발전을위하는길이라고 생각하여전전긍긍한심정으로 당이자기에게위임한중책의완수에노력하려는것보다는 오히려 관리가되는 그날부러개인적인 영달과 욕망에사로잡혀 당은이저버리고오즉 표면적인 신의를유지한것같었다。 당원이라면입당수속하는것이라고생각하고 당원으로서하등의훈련도받은일이 없는사람들이당을마치 개인적인영달에의 한개의관문처럼생각한다는것도무리가아닐지모르겠으나 당으로서도당권확립에대한 노력이부족하였다는것은 인정하지않을수없을것이다。당원을훈련하고 동원하여국민적인 계몽운동과민중의이익을대변하여 싸우는조직활동을떠나서당권확립이란생각할수없는일이다。제이 제삼 제사의이유도결국은이러한 조직활동의결핍과당권확립의 등한시에귀착되는것이다사나는이상에있어서 해방이후민족진영의 기본적인정치이념이 반공주권회복에있었다는것과 정당활동에있어서의 기본적인결함을구체적거례로 설명하였거니와 사이비정당인의 이기주의적무책임한소행의결과는민족진영전체에중대한폐해를 초래하였고 그폐해는 더욱심각한 양상을보이고있다는것을 지적하지않을수없으니 그것은곧팟쇼화의 위험인것이다。공산주의자의 무소불지한 파괴적소행에 대항하기위하여 치안의확보에중점을둔관계로 경찰의목숙을모르는 인권유린적비행은날로격심하여 인민의원성또한이에정비례하매저경북십、일폭동 제주도폭동은 결국원한에쌓인 민심에불부친것에 불과한것이니 도화선의역할을한 공산파괴분자도 가증하려니와 이러한불상사의 소지를만든 군정관리 특히경찰관도그일반의책임을저야할것이다。치안확보를위하여 솔선준법의 수범이되어야할경관이 취체를구실로 무고한양민에대하여 취모멱자적행패를 자행한 그책임도 크려니와 이에호응하다싶이 일부권세가들이자기의비위에 맞지않으면상대방을 공산분자니 반역자니하고 공격하는 무사려하다고할가 자기본위적이라고할가요건대비판의자유를봉쇄하려는 가장야비한팟쇼적언행이니 민주주의에 배반되는것은말할것도없거니와 힛르라의 팟쇼보다고 악질적인 한말붕당전식팟쇼요 자기일개인의권세욕을 만족시키자는 팟쇼요 자기비위에거실리던 비국민이라고 모라때리던 일제잔재의권화인것이다。 사십년동안이나권력맛을모르다가 한번맛을보니 달큼한맛이 제법금단의과실과같은지라 죽어도놓기실타는발악이다。 민족도모르고 국가도모르는권력만능주의자의 발악이며국가니 민족이니를 구두선가치 부르지지나 이나라 이민족이 무엇을요망하고 무엇슬지향하는지말여고도 하지안는 석두적발악이라 아니할수없으니공산주의의 발호와 내정문란의틈을타서 봉건적일제적잔재로 무장한망령들이 벼락감루에상기한란무가 사대자유를 부르짓고세계련론이 대두한이십세기중엽에 이나라팟쇼화의 특징인것이다오우리는 이러한 팟쇼를방지하기위하여 민생문제의해결에주력을 경주해야할것은말할것도없지만은 이에병행하여 언론의 자유비판의자유를 확보하여야하며 인권옹호에 철저를기하여야하며 민주정치의간간인 의회의권위를 확립하여야할것이다。 이나라팟쇼화를 꿈꾸는자들은의회의권위를 실타하려고할것이나 국회의원은 우리의대변자라는것을 이저서는안될것이며 국회의원도자기를감시하는 육천만의눈이있다는것을 수유라도잊어서는 안될것이다。민주정치는 의회정치요의회정치는 정당정치다。한미붕당정치의 폐해를뼈에사모차게 체험한우리는당파라는말에 일종의전률를느낄지경이나 정당과붕당과는 엄격이구별해야한다。 붕당은 개인을중심으로한집단이요 정당은 이념과정강정책을 중심으로한 집단이다。 붕당은 신분과혈연과지연을 중심으로 집합된봉건적유물임에반하여정당은 이나라이민족을여하한방략으로 향상발전시킬것이냐는이념을중심으로신분 혈연 지연관계를 떠나서 동지적으로결합된단체인것이다。 과학의 시대에처한우리는 당활동도 과학적으로전개하여야할것은말할것도 없거니와 동지의집단인지라개인적이해관계를떠나서 굳고뜨거운 동지애로결속하지않어서는 안된다。그러면 주권을회복한현하에있어서 당활동은 여하히전개되어야할것인가。 해방직후 우리의활동을 규정한 기본적이념은 반공주권회복에있었다。 현정세하에있어서는앞에서본바와같이반공반팟쇼투쟁에있다고규정할수있을것이다。 북조선인민공화국이수립된금일에있어서는 종래에도그랫거니와 금후에있어서는더욱 맹렬한 파괴공작과흉험한모략을 감행할것이매 공고한단결로 이것을격파하는동시에 관존민비의사상을철저히 타파하여야할것이니 우에는대통령으로부터 밑으로는면사무원 순경에이르기까지인민의납세로 먹여살리는 인민의공복임에 틀림이없으니그들의 방자와행패를용인하지말것이며 그들의행적과 일상생활을충분히감시하여야할것이다。 공산주의를타도하고 팟쇼적동향을 그맹아에있어서 삼제하고 수정자본주의적방향으로 민생문제를 해결하지않고는 이나라 민주주의는 확립되지않을것이니인민의선두에서서 이방향을 추진시켜주지않는정당은 도저이 인민의지지를받지못할것이다。 우리는요구한다。 일절의취모멱자적취체법규를일소하여 권력남용의폐해를제거하여 인민에대한압박감을없에라！기아와테로의공포에서우리를해방하라！언론의자유비판의자유를 확보하라！,1948-09-05,1948,동아일보,0,14
7,자주권침해의 협정은배격 민련선전부담,자주권침해의협정은배격민련선전부담민련선전부에서는 작팔일자주권을침해하고 민의가반영되지않는 일절협정은민족적양심으로이를 용납할수없다는 다음같은담화를발표하였다과거을기조약은 우리민족이 알지도못하는 비밀리에 민족과국가를송두리채 왜적에게비치었고 가까이얄타비밀협정역시 우리민족의 본의아닌국토양단을 감행하였다 우리는상상만하여도 소롬이끼치는 과거의뼈아픈 체험을절대로망각하여서는안된다 비밀은암흑이다 그러므로우리는 자주권을침해당하고 민의가반영되지않는여하한 공개협정일지도진정한 민족적충성으로이를 배격하여한사반대하는바이다,1948-09-09,1948,동아일보,1,3
8,주권침해협정 민련반대성명발표,주권침해협정 민련반대성명발표   민련에서는 팔일 자주 권을 침해당하는 여하 한 협정일지라도 반대 한다는 요지 다음과같 은 담화를 발표하였다 가까이「얄타」비밀협정은 우리민족의 본의아닌국토양단하는셈이되었고 조금멀리 을사조약은 우리민족이 알지못하는비밀리에 송두리채 민족과 국가를 일제왜적에게 바치게되어 여지없는 희생과 말못할고통에신음하지않이하였던가비밀은암흑이다 그럼으로우리는 자주권을 침해당하고민의가 반영되지 않은여하한 공개협정 일지라도진정한 민족적 충성으로이를 배격하며 한사반대할것이다 ,1948-09-09,1948,경향신문,1,3
9,미군주둔요 청설에항함,"미군주둔요청설에항함
일
 지난팔일부동경서발행되는미군측의『성조지』에보도되였다는 윤내무장관의미군삼개년주군의 요청운운이 에상당한충동을이르키더니 됨를이어서리대통령특 왕씨는동경시의 무잔류를역설한바있었고 또유엔에파견된 대표장면 금활란씨등도 역시이구동성으로미군주둔의 필요를말하고있어 이로미루어본다면아직대한민국정부의 정강정책의전반을들어볼겨를을못가젓으나 마치정부당국의결정적대방침인듯한 인상을주고있다 특히윤내무장관의담으로전하는바는북조선을이주간이내에 점령키위한것이라고하고 십만의우수한병력을 필요로한다는등에 이르로서는 북조선과의 통일은 무력전으로써만 가능하고또그렇게하여야할것이라는 견해로짐작할주있는데 이러한견해는 조선의전체운명을위해서나 대한민국의전진를위해서나 결코리롭지못한경솔한말이라고 하지않을수없다 그이해서이러한한국정부의 미군주둔요청설은국제적으로 상당한파문을이르킬모양으로 미국돌아간 하지중장이이문제로신문기자들의 방문을받은것도 그리면의사정을설명하는것이라고볼수있다.
이
 우리는 한국정부원기타대표들의미군주둔 요청설에대하야 먼저한국가가외국군대의주둔을 요청함은그국가의 독립주권이무력함을폭로하는것이됨것이다즉국가권력수립의 자립적국민의기초가 박약함을증명하는것이될것이다금금남북의분단으로 북의인민군이강대하다하고 남으로유격대가 않이넘어온다고전하있있다 하지만 명일의통일국가를 전제로하고바야흐로 독립주권의회복을내외에선양코서하는 차제에행정부책임당국의 금후의국가진로를 발표키 도전에이러한 국가탄생의경중을저울질바들 견해가횡행한다는것은 언어도단이다비근한례로서는 현재입법부와행정부가 동거하고있는중앙청구내에 미군의숙사가있는것만도 당장국가의체면상 결코아로름답지못한 풍경이라할것이거던미군의장기주둔을 역설함은상식밖이라하겠다 더구나현미군의주둔은 소련과의어떤군사적내지는정치적내약에서된 점령에기인한것으로 아무리그철퇴를간원한다하더래도 양자간의어떤합의가 있기전에는철퇴의기간을오히려미루어나갈도도싶은것이 현재의정세라고 도할것인데 미군주둔이장기화한다면 소련도그대로 물러나가지 않으려고할런지모르고 또그로인하야미군의 계속주둔도불득기한일같이될린지도 모르는것이다 정부의불안정운운을이유로 외군을끌어드리다가 이땅이전장화한례는 한말의갑오청일전쟁을생긱할것이다 미국은과연국제무대에능한 나라이라 국가를 승인한다고하면서 곳점령군이라하지않고군사사절단이라고 형식만이라도 이름을고처 신국가주권을 존중하는 태도를뵈인것들알어야한다.
삼
 지금 그러치않어도세계는조선을 삼차대전의발화점가치 경계주시하고있다조선의 내란즉남북전은미소의 국제전을의미하는극히위험한 경우에있는것이다 조선민족의정치적역량을보인다면 평화적인자주적남북통일에서 국제대전의위기를 극복할인소가될것이기대된다고도 할것이다 이것이만일현정세에너머지나친희망적인이상이라고한다면 이희망적인우리의이상은 또국제적으로요구되고있다는 사실을이저서않될것이다 즉이월이십칠일 유엔소총회의결의문을 읽어볼것이다 즉그말미에 강조한바는『모든평화적방법이 조선의통
일달성을위하야 최대한도
로권설되어야할것을 확신
한다』고했다,통일의방법을 평화적으로추진식혀야할것은 우리민족자신의이익을위하는 지고한 사절일뿐아니라 유엔이한국정부에기대하고 있는바도또한그러하거던 지금유엔에대표를 파견하야국제승인을엿기로 절충하려는한국정부의대외인상이유엔결정의정신을경홀얻하며국제전을유발할 위험성많은 내란을목표로하는듯이전한다면,유엔의제외국평화사절이 어떠케보겠는가 정부대표들이공공연히국가의 면목을 짓밟은격이 되고마는것이다,그뿐인가 이정부가내란을목표로하고있지는않다하더래도미군의장기주둔을 필요하다고한다면 이땅의대중은그대로 화응하야『고맙소』할줄아는가 정부는마땅히적당한기간에빨리철퇴가있고우리들의평화한통일국가를 어떠케만들어야한다는그것을먼저말해두어야할것이다.
",1948-09-16,1948,조선일보,0,3
