	T6	T7
D0	T7	0.36592734
D1	T6	0.30306360
D2	T7	0.68149006
D3	T7	0.65117043
D4	T6	0.39842010
D5	T3	0.57983941
D6	T3	0.68916500
D7	T7	0.60947764
D8	T7	0.66603607
D9	T7	0.62884229
D10	T7	0.72545326
D11	T7	0.54300690
D12	T7	0.65472603
D13	T7	0.74124569
D14	T7	0.41061991
D15	T7	0.61623573
D16	T3	0.47143769
D17	T6	0.38286418
D18	T7	0.46297884
D19	T3	0.37598565
D20	T7	0.71448326
D21	T7	0.66656345
D22	T7	0.49533784
D23	T7	0.67205209
D24	T7	0.75806248
D25	T7	0.58412760
D26	T6	0.61795747
D27	T7	0.48165584
D28	T7	0.57697982
D29	T7	0.59955400
D30	T7	0.29951715
D31	T2	0.50830382
D32	T2	0.56004971
D33	T7	0.41948819
D34	T3	0.29086044
D35	T6	0.31562066
D36	T6	0.35265464
D37	T7	0.70514327
D38	T7	0.63541448
D39	T7	0.59315753
D40	T3	0.66123766
D41	T6	0.64067328
D42	T6	0.51046568
D43	T6	0.35712039
D44	T7	0.70845157
D45	T7	0.72691035
D46	T0	0.53520596
D47	T7	0.48567724
D48	T7	0.56875789
D49	T7	0.49712789
D50	T1	0.39915365
D51	T7	0.36929071
D52	T7	0.71937811
D53	T7	0.42473477
D54	T7	0.45606121
D55	T3	0.45112661
D56	T3	0.47707480
D57	T3	0.68923682
D58	T2	0.64948910
D59	T2	0.66407084
D60	T2	0.66590053
D61	T7	0.42593589
D62	T2	0.77321035
D63	T7	0.51426196
D64	T2	0.75038975
D65	T7	0.60312337
D66	T7	0.43293303
D67	T2	0.43558478
D68	T6	0.62891144
D69	T6	0.47199893
D70	T6	0.50843042
D71	T7	0.56514704
D72	T7	0.57421178
D73	T7	0.62317562
D74	T7	0.63787007
D75	T6	0.57918143
D76	T3	0.28986949
D77	T7	0.40837827
D78	T3	0.39183185
D79	T6	0.52930701
D80	T6	0.83262271
D81	T6	0.75720823
D82	T6	0.65805209
D83	T6	0.69713086
D84	T6	0.84660161
D85	T6	0.85063958
D86	T6	0.75925398
D87	T6	0.77130377
D88	T6	0.94650823
D89	T6	0.63178545
D90	T6	0.70856702
D91	T7	0.64885002
D92	T7	0.64889258
D93	T2	0.62049323
D94	T3	0.80672455
D95	T7	0.76450342
D96	T7	0.60004109
D97	T0	0.61000890
D98	T0	0.57112998
D99	T6	0.66594666
D100	T6	0.61054921
D101	T6	0.65288091
D102	T6	0.37307414
D103	T6	0.40917000
D104	T6	0.43298715
D105	T1	0.35618538
D106	T6	0.64367992
D107	T6	0.64701319
D108	T6	0.62520677
D109	T7	0.65214318
D110	T6	0.53756815
D111	T6	0.68557245
D112	T6	0.71598053
D113	T6	0.75813740
D114	T6	0.65678149
D115	T6	0.60204148
D116	T6	0.75414348
D117	T6	0.72805649
D118	T6	0.87677634
D119	T6	0.52352810
D120	T6	0.61995745
D121	T6	0.86259568
D122	T6	0.44730666
D123	T7	0.35793829
D124	T1	0.24283271
D125	T1	0.53694153
D126	T3	0.55942702
D127	T1	0.59566766
D128	T3	0.69122583
D129	T3	0.63566273
D130	T2	0.53119928
D131	T2	0.54966694
D132	T0	0.62850338
D133	T3	0.75401580
D134	T3	0.65622652
