	T0	T1	T2	T3	T4	T5	T6	T7
D0	0.22676949	0.00317579	0.04940822	0.09910508	0.00425113	0.00281146	0.24855152	0.36592734
D1	0.05238725	0.00827796	0.01049615	0.27113897	0.23727317	0.00100378	0.30306360	0.11635908
D2	0.00774711	0.00369308	0.17380112	0.02217151	0.09801969	0.00326940	0.00980804	0.68149006
D3	0.00254197	0.00121177	0.03412242	0.12943506	0.00162208	0.00107275	0.17882346	0.65117043
D4	0.08704184	0.05600022	0.02908309	0.15265712	0.00059019	0.01150218	0.39842010	0.26470527
D5	0.02881037	0.00196000	0.04284259	0.57983941	0.03967187	0.00173514	0.00520535	0.29993522
D6	0.00767356	0.00022837	0.00930853	0.68916500	0.13412337	0.01890787	0.01787330	0.12272006
D7	0.13842107	0.00299595	0.02773361	0.20675249	0.00401039	0.00265225	0.00795661	0.60947764
D8	0.04966275	0.00337861	0.05256357	0.21187250	0.00452262	0.00299101	0.00897288	0.66603607
D9	0.06691449	0.03342894	0.03456222	0.11297661	0.09932437	0.01511268	0.00883840	0.62884229
D10	0.06609721	0.02654897	0.03650903	0.03859386	0.01815904	0.01353808	0.07510062	0.72545326
D11	0.17337172	0.00158751	0.01469563	0.04954043	0.00212505	0.10142981	0.11424296	0.54300690
D12	0.11373951	0.00093373	0.04982601	0.14091927	0.00713310	0.03024261	0.00247980	0.65472603
D13	0.03838712	0.07976158	0.00284408	0.06639064	0.00734929	0.00691317	0.05710849	0.74124569
D14	0.25724101	0.00062491	0.08059517	0.10218633	0.00083651	0.12261220	0.02528395	0.41061991
D15	0.06163941	0.01192077	0.02818827	0.14700538	0.05363684	0.00053025	0.08084332	0.61623573
D16	0.02196891	0.01034089	0.04495602	0.47143769	0.00914154	0.01031781	0.03855824	0.39327887
D17	0.12411066	0.00971984	0.02606105	0.20910135	0.05296537	0.00043235	0.38286418	0.19474518
D18	0.00216227	0.00103076	0.37973040	0.11010080	0.00787432	0.03338519	0.00273749	0.46297884
D19	0.02493191	0.03704879	0.02097307	0.37598565	0.03403000	0.01653782	0.24531506	0.24517769
D20	0.06530444	0.00163662	0.00483837	0.04076112	0.03312641	0.00144886	0.13840088	0.71448326
D21	0.03600632	0.02146075	0.02602731	0.16012803	0.00074032	0.01094345	0.07813036	0.66656345
D22	0.00774711	0.00369308	0.29014626	0.04544054	0.02821260	0.00326940	0.12615319	0.49533784
D23	0.10636688	0.00381186	0.03444094	0.08208828	0.00069891	0.00046222	0.10007878	0.67205209
D24	0.01699353	0.00062246	0.00184019	0.12531723	0.05574045	0.00055105	0.04087256	0.75806248
D25	0.00195873	0.00093373	0.02041001	0.26446643	0.06596508	0.00082661	0.06131178	0.58412760
D26	0.00416298	0.05199977	0.04337829	0.01191406	0.02766410	0.03926829	0.61795747	0.20365505
D27	0.11500325	0.00506042	0.16800570	0.06093590	0.00966240	0.00061362	0.15906283	0.48165584
D28	0.00058515	0.08464108	0.12209523	0.21433756	0.00037340	0.00024694	0.00074082	0.57697982
D29	0.00340768	0.06336119	0.06355959	0.19613905	0.01163753	0.04737486	0.01496605	0.59955400
D30	0.01070274	0.03742948	0.08014294	0.20622876	0.00097466	0.09239799	0.27260625	0.29951715
D31	0.00574270	0.00273757	0.50830382	0.17167287	0.00366452	0.00242351	0.00727041	0.29818472
D32	0.00574270	0.00273757	0.56004971	0.15442424	0.00366452	0.00242351	0.00727041	0.26368743
D33	0.02613882	0.00124871	0.07773924	0.01861913	0.03808212	0.00135120	0.41733265	0.41948819
D34	0.04540637	0.01261750	0.19697198	0.29086044	0.04536985	0.00858665	0.16923936	0.23094784
D35	0.00059483	0.00036487	0.25512835	0.10756142	0.01817027	0.00039481	0.31562066	0.30216485
D36	0.00903803	0.00043177	0.15605901	0.11478169	0.00900060	0.09630975	0.35265464	0.26172447
D37	0.05953904	0.00043539	0.05231836	0.07792754	0.08471383	0.01307740	0.00684511	0.70514327
D38	0.00090342	0.00055415	0.02915099	0.21684472	0.00085538	0.05408218	0.06219472	0.63541448
D39	0.00118144	0.00072469	0.00315130	0.34652412	0.02210102	0.01477244	0.01838743	0.59315753
D40	0.00816780	0.00026706	0.00889373	0.66123766	0.02360949	0.01059887	0.01708601	0.27013937
D41	0.00259968	0.00159463	0.09927468	0.00838694	0.03324160	0.00172551	0.64067328	0.21250370
D42	0.00155004	0.00095079	0.20601209	0.07841071	0.00146762	0.00102883	0.51046568	0.20011427
D43	0.02856406	0.01236613	0.15718801	0.24123715	0.00063726	0.00044673	0.35712039	0.20244029
D44	0.04425433	0.00037681	0.06709859	0.17290525	0.00058164	0.00040774	0.00592405	0.70845157
D45	0.01481252	0.03533973	0.10010923	0.11063535	0.00446289	0.00643030	0.00129960	0.72691035
D46	0.53520596	0.00897058	0.00419266	0.34552869	0.00046228	0.00032406	0.05962530	0.04569044
D47	0.00065733	0.00040320	0.00953612	0.43795747	0.03175358	0.00043630	0.03357881	0.48567724
D48	0.00060118	0.05375393	0.00516257	0.29021946	0.07530846	0.00395804	0.00223854	0.56875789
D49	0.00071281	0.00043723	0.09473734	0.25548881	0.08507130	0.05111096	0.01531363	0.49712789
D50	0.00164036	0.39915365	0.33454645	0.11211209	0.03068587	0.01079968	0.03524069	0.07582123
D51	0.00061880	0.00037957	0.23610261	0.33169457	0.02256578	0.00041072	0.03893728	0.36929071
D52	0.00995022	0.02341355	0.04794344	0.01626300	0.01449666	0.16566946	0.00288552	0.71937811
D53	0.04237621	0.10742699	0.00369384	0.14383835	0.00131120	0.27146214	0.00515653	0.42473477
D54	0.01056388	0.00034541	0.20151739	0.26850387	0.00720034	0.00037376	0.05543420	0.45606121
D55	0.10987200	0.00601858	0.00406917	0.45112661	0.08391730	0.00013222	0.03965789	0.30520621
D56	0.24601650	0.00019888	0.01430114	0.47707480	0.05213271	0.00021521	0.03383831	0.17622247
D57	0.07112280	0.00072469	0.04511611	0.68923682	0.00111862	0.00078417	0.06035224	0.13154456
D58	0.00046795	0.09724616	0.64948910	0.06799593	0.00044307	0.00031060	0.01005321	0.17399406
D59	0.00028583	0.10677847	0.66407084	0.03307229	0.00027063	0.00018972	0.00275642	0.19257577
D60	0.00064479	0.12636082	0.66590053	0.05170287	0.00061050	0.00042797	0.00240089	0.15195172
D61	0.00059067	0.00385910	0.16942123	0.38305524	0.00055926	0.00039205	0.01618654	0.42593589
D62	0.00054319	0.03248992	0.77321035	0.02747779	0.00051430	0.00036054	0.05025768	0.11514629
D63	0.00045289	0.00027780	0.08432309	0.33392137	0.05405144	0.00030060	0.01241090	0.51426196
D64	0.00924711	0.01270824	0.75038975	0.08505710	0.00028612	0.00020058	0.02438200	0.11772908
D65	0.00237991	0.04372708	0.09088254	0.03585613	0.18541150	0.00157964	0.03703989	0.60312337
D66	0.00138484	0.14022009	0.03648693	0.08645044	0.20626801	0.00911745	0.08713926	0.43293303
D67	0.00469489	0.00041616	0.43558478	0.17489554	0.04482318	0.00446675	0.03064130	0.30447736
D68	0.01490741	0.00018908	0.08476736	0.11961263	0.00211676	0.01297886	0.62891144	0.13651641
D69	0.00140793	0.00919855	0.12044453	0.17957586	0.00966800	0.00093450	0.47199893	0.20677173
D70	0.00222329	0.00136376	0.04541593	0.19143917	0.02842885	0.00147569	0.50843042	0.22122292
D71	0.01580113	0.00140063	0.33051610	0.06143751	0.00216198	0.01503331	0.00850235	0.56514704
D72	0.00037623	0.02027635	0.02773096	0.30635193	0.00035622	0.00024972	0.07044678	0.57421178
D73	0.00385811	0.00034199	0.00478770	0.36486262	0.00052788	0.00037006	0.00207599	0.62317562
D74	0.00046282	0.00028389	0.00671430	0.31384167	0.00043821	0.00852689	0.03186223	0.63787007
D75	0.09067417	0.00225361	0.00979976	0.03360290	0.00347863	0.00243858	0.57918143	0.27857101
D76	0.17457730	0.00161955	0.00704259	0.28986949	0.00249991	0.22058138	0.05672323	0.24708654
D77	0.06294367	0.00026984	0.11576363	0.25403860	0.02125111	0.00029199	0.13706286	0.40837827
D78	0.00074751	0.01815944	0.00199384	0.39183185	0.19099267	0.07129984	0.09128799	0.23368686
D79	0.00301765	0.00185101	0.15096512	0.06332891	0.00285719	0.01986744	0.52930701	0.22880565
D80	0.00650265	0.00398869	0.01734474	0.02097853	0.00615687	0.00431607	0.83262271	0.10808966
D81	0.02126199	0.00188468	0.15371110	0.04629138	0.00290916	0.00203937	0.75720823	0.01469411
D82	0.00211210	0.00129555	0.14317335	0.06933197	0.01450339	0.00140188	0.65805209	0.11012973
D83	0.00312947	0.00191960	0.00834733	0.06567543	0.00296305	0.03913002	0.69713086	0.18170425
D84	0.04283659	0.00140063	0.03312605	0.00736659	0.00216198	0.00151558	0.84660161	0.06499104
D85	0.01538518	0.00136376	0.00593026	0.03349646	0.00210507	0.00147569	0.85063958	0.08960401
D86	0.00692996	0.02908717	0.10048844	0.03688757	0.00051102	0.00035823	0.75925398	0.06648361
D87	0.00695218	0.00033212	0.09119444	0.04982727	0.00051266	0.00035938	0.77130377	0.07951818
D88	0.00168958	0.00103638	0.00450667	0.00545084	0.00159974	0.00112144	0.94650823	0.03808716
D89	0.00291355	0.00178716	0.09401263	0.21637847	0.00275862	0.00193384	0.63178545	0.04843025
D90	0.12841244	0.00119128	0.10865599	0.00626555	0.03633075	0.00128906	0.70856702	0.00928795
D91	0.00051503	0.00031592	0.17516647	0.14801332	0.00048765	0.00034185	0.02630971	0.64885002
D92	0.03231040	0.01314948	0.24660157	0.03466098	0.00099975	0.00695174	0.01643348	0.64889258
D93	0.00185672	0.00113890	0.62049323	0.06094906	0.00175799	0.00123238	0.10583978	0.20673195
D94	0.01770318	0.00035487	0.00154315	0.80672455	0.00739763	0.00038400	0.00215420	0.16373841
D95	0.02195525	0.00392777	0.00160356	0.15141797	0.02904131	0.00039903	0.02715162	0.76450342
D96	0.04198842	0.00209027	0.11070666	0.12414362	0.01734913	0.02294062	0.08074024	0.60004109
D97	0.61000890	0.00030657	0.06050876	0.23831499	0.00047322	0.00033173	0.07583056	0.01422534
D98	0.57112998	0.07811360	0.02435483	0.24077959	0.00046094	0.04931774	0.01910495	0.01673840
D99	0.00545306	0.00334488	0.27280191	0.01759238	0.00516309	0.00361941	0.66594666	0.02607867
D100	0.09931454	0.00246836	0.20131449	0.01298232	0.00381011	0.00267095	0.61054921	0.06689001
D101	0.00337994	0.00207324	0.12907082	0.03091342	0.02320944	0.00224340	0.65288091	0.15622884
D102	0.00053123	0.00032585	0.16180596	0.13065399	0.02251716	0.04438095	0.37307414	0.26671067
D103	0.04499836	0.00398869	0.32531041	0.09796995	0.00615687	0.00431607	0.40917000	0.10808967
D104	0.17716259	0.00129555	0.23069860	0.00681394	0.03951061	0.08892713	0.43298715	0.02260448
D105	0.02962245	0.35618538	0.13508113	0.08922446	0.01084287	0.03843930	0.00587957	0.33472490
D106	0.00192004	0.00117774	0.08468769	0.00619433	0.00181794	0.17177367	0.64367992	0.08874869
D107	0.01694652	0.00150215	0.18050332	0.08038859	0.00231870	0.00162545	0.64701319	0.06970211
D108	0.00189846	0.00116450	0.06125816	0.14099114	0.00179751	0.01249895	0.62520677	0.15518446
D109	0.03047714	0.00099651	0.05242089	0.17835648	0.01115571	0.06840093	0.00604921	0.65214318
D110	0.19602530	0.00181853	0.04300974	0.02711550	0.02035801	0.10727357	0.53756815	0.06683122
D111	0.02493672	0.00119128	0.06266677	0.02926015	0.00183884	0.00128906	0.68557245	0.19324479
D112	0.07945901	0.00080963	0.01914848	0.01988607	0.00906364	0.00868999	0.71598053	0.14696273
D113	0.00939643	0.00576372	0.02506341	0.08594117	0.06452364	0.00623679	0.75813740	0.04493745
D114	0.03249080	0.03067561	0.15150164	0.04294302	0.03224112	0.00311639	0.65678149	0.05024990
D115	0.00805261	0.10028229	0.06915042	0.02597892	0.10296728	0.00534484	0.60204148	0.08618218
D116	0.02031659	0.00066429	0.02212227	0.04837227	0.03308141	0.02636363	0.75414348	0.09493608
D117	0.06217358	0.00042469	0.02643923	0.04731988	0.00475429	0.00045954	0.72805649	0.13037232
D118	0.02582756	0.00123384	0.02918139	0.00648938	0.00190453	0.00133511	0.87677634	0.05725189
D119	0.00185672	0.00113890	0.03792789	0.01698186	0.13365956	0.00123238	0.52352810	0.28367451
D120	0.00042984	0.00789770	0.12583579	0.07772710	0.01313038	0.01300870	0.61995745	0.14201301
D121	0.00141976	0.00927587	0.06262192	0.02139035	0.00134427	0.03456232	0.86259568	0.00678986
D122	0.00056124	0.05018197	0.06462476	0.15796877	0.01382145	0.00037251	0.44730666	0.26516265
D123	0.00131992	0.00862354	0.19105448	0.12146688	0.02469146	0.00087608	0.29402941	0.35793829
D124	0.03907040	0.24283271	0.21973239	0.13246119	0.02382095	0.00020527	0.12060452	0.22127257
D125	0.01493693	0.53694153	0.02126217	0.12430859	0.04268822	0.00027841	0.10476729	0.15481693
D126	0.26075542	0.02440599	0.00038669	0.55942702	0.08576869	0.00021343	0.02992412	0.03911863
D127	0.00555793	0.59566766	0.03014486	0.14314035	0.11954915	0.00033949	0.00541175	0.10018881
